send_date,task_id,touch_type,sent_at_ist
2026-07-27,QC-STAB-198-20260311,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-130-20260317,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-131-20260317,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-132-20260317,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-133-20260317,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-056-20260323,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-095-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-096-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-097-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-098-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-099-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-100-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-186-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-187-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-188-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-189-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-464-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-465-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-466-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-467-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-468-20260326,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-060-20260401,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-068-20260419,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-069-20260419,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-028-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-029-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-030-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-031-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-032-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-033-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-034-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-035-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-036-20260425,action_critical,2026-07-27T10:55:41+05:30
2026-07-27,QC-STAB-037-20260425,action_critical,2026-07-27T10:55:41+05:30
